flight_id,airline,flight_no,origin,destination,departure_time,arrival_time,duration_minutes,stops,base_price,baggage_fee,seat_selection_fee,meal_fee,payment_fee,comfort_score,on_time_rate
F001,台灣虎航,IT201,TPE,NRT,08:00,12:30,210,0,3500,800,200,0,150,3.0,0.85
F002,中華航空,CI101,TPE,NRT,09:00,13:10,220,0,5800,0,150,250,0,4.5,0.92
F003,長榮航空,BR191,TPE,NRT,07:30,12:00,210,0,6200,0,100,300,0,4.8,0.95
F004,樂桃航空,MM801,TPE,NRT,06:00,10:30,210,0,2800,1000,300,0,200,2.5,0.78
F005,日本航空,JL803,TPE,NRT,10:00,14:30,210,0,6500,0,200,350,0,4.7,0.93
F006,全日空,NH851,TPE,NRT,11:00,15:20,220,0,6800,0,180,300,0,4.9,0.96
F007,台灣虎航,IT203,TPE,KIX,07:00,09:50,170,0,2900,800,200,0,150,2.8,0.82
F008,中華航空,CI115,TPE,KIX,08:30,11:20,170,0,4800,0,120,200,0,4.3,0.90
F009,長榮航空,BR195,TPE,KIX,06:30,09:20,170,0,5200,0,100,250,0,4.6,0.94
F010,樂桃航空,MM701,TPE,KIX,05:30,08:30,180,0,2400,900,280,0,180,2.3,0.75
F011,酷航,TR897,TPE,SIN,08:00,12:30,270,0,3800,900,250,0,180,3.2,0.83
F012,新加坡航空,SQ877,TPE,SIN,09:30,14:00,270,0,8500,0,250,400,0,5.0,0.97
F013,中華航空,CI751,TPE,SIN,10:00,14:30,270,0,6200,0,150,280,0,4.4,0.91
F014,長榮航空,BR225,TPE,SIN,11:00,15:30,270,0,6800,0,130,300,0,4.7,0.94
F015,酷航,TR853,TPE,SIN,14:00,20:30,390,1,2900,900,200,0,160,2.8,0.79
F016,泰國航空,TG636,TPE,BKK,08:00,11:30,210,0,5500,0,180,300,0,4.3,0.88
F017,泰獅航,SL387,TPE,BKK,09:00,13:00,240,0,3200,850,220,0,170,3.0,0.80
F018,中華航空,CI837,TPE,BKK,10:30,14:00,210,0,5800,0,160,250,0,4.5,0.92
F019,長榮航空,BR205,TPE,BKK,07:00,10:30,210,0,6100,0,140,280,0,4.6,0.93
F020,亞航,AK856,TPE,BKK,06:00,11:00,360,1,2200,1000,300,0,200,2.2,0.74
F021,大韓航空,KE691,TPE,ICN,08:00,11:30,210,0,5200,0,170,280,0,4.4,0.90
F022,韓亞航空,OZ711,TPE,ICN,09:00,12:30,210,0,4800,0,150,250,0,4.2,0.88
F023,中華航空,CI161,TPE,ICN,10:00,13:30,210,0,5500,0,160,270,0,4.5,0.91
F024,長榮航空,BR159,TPE,ICN,07:30,11:00,210,0,5800,0,130,290,0,4.7,0.93
F025,易斯達,ZE601,TPE,ICN,06:30,10:30,240,0,2600,950,280,0,190,2.4,0.76
F026,香港快運,UO891,TPE,HKG,07:00,09:00,120,0,2100,800,180,0,140,2.6,0.81
F027,國泰航空,CX465,TPE,HKG,08:30,10:25,115,0,4500,0,150,200,0,4.6,0.93
F028,中華航空,CI921,TPE,HKG,09:00,10:55,115,0,4200,0,130,180,0,4.3,0.89
F029,長榮航空,BR892,TPE,HKG,10:00,11:55,115,0,4800,0,120,200,0,4.5,0.92
F030,香港航空,HX622,TPE,HKG,06:30,08:30,120,0,3200,700,160,0,150,3.5,0.84
F031,中華航空,CI521,TPE,PVG,07:30,10:10,160,0,5500,0,160,250,0,4.4,0.88
F032,長榮航空,BR712,TPE,PVG,08:00,10:45,165,0,5900,0,140,270,0,4.6,0.91
F033,東方航空,MU507,TPE,PVG,09:30,12:20,170,0,4800,0,150,220,0,4.0,0.85
F034,中國南方,CZ5027,TPE,PVG,10:00,12:50,170,0,4600,0,140,210,0,3.8,0.83
F035,台灣虎航,IT261,TPE,PVG,06:00,09:00,180,0,3200,800,200,0,160,2.7,0.79
F036,全日空,NH851,TPE,HND,07:00,11:30,210,0,7200,0,200,350,0,4.9,0.96
F037,日本航空,JL811,TPE,HND,08:30,13:00,210,0,7000,0,190,320,0,4.8,0.95
F038,星宇航空,JX801,TPE,HND,09:00,13:30,210,0,6500,0,180,300,0,4.7,0.93
F039,長榮航空,BR198,TPE,HND,10:30,15:00,210,0,6300,0,160,280,0,4.6,0.92
F040,中華航空,CI221,TPE,HND,06:30,11:00,210,0,6000,0,150,260,0,4.4,0.90
F041,馬來西亞航空,MH353,TPE,KUL,09:00,13:30,270,0,5800,0,170,280,0,4.3,0.87
F042,亞航,AK168,TPE,KUL,10:00,15:30,330,1,2500,950,260,0,190,2.5,0.76
F043,長榮航空,BR712,TPE,KUL,08:00,12:30,270,0,6200,0,150,300,0,4.5,0.91
F044,捷星亞洲,3K571,TPE,SIN,07:30,12:30,300,0,3200,900,240,0,170,2.7,0.80
F045,星宇航空,JX821,TPE,SIN,09:30,14:00,270,0,7200,0,180,320,0,4.7,0.93
F046,越南航空,VN631,TPE,SGN,08:00,11:30,210,0,5200,0,160,260,0,4.2,0.86
F047,越捷航空,VJ832,TPE,SGN,09:30,13:30,240,0,2800,900,220,0,170,2.4,0.77
F048,長榮航空,BR395,TPE,SGN,10:00,13:30,210,0,5500,0,140,250,0,4.4,0.89
F049,菲律賓航空,PR896,TPE,MNL,08:00,10:15,135,0,3800,0,160,200,0,3.9,0.83
F050,宿霧航空,5J830,TPE,MNL,09:00,11:20,140,0,2400,850,210,0,180,2.6,0.78
